CHEM,CAS_Num,MW,MP,Kow,VP,WS,Koc,Biod_class
Formaldehyde,000050-00-0,30.03,-110.94,2.238721139,465000,57020,7.752,readily biodegradable
"Propanoic acid, 2-hydroxy-",000050-21-5,90.08,22.66,0.223872114,3.81,1000000,0.2218,readily biodegradable
D-Glucose,000050-99-7,180.16,132.79,0.00128825,0.0000178,1000000,0.01658,readily biodegradable
"1,3-Benzodioxole, 5-  2-(2-butoxyethoxy)ethoxy methyl -6-propyl-",000051-03-6,338.45,152.74,19498.446,0.000696,0.6384,2469,not biodegradable
"1,3-Propanediol, 2-bromo-2-nitro-",000052-51-7,199.99,90.85,0.229086765,0.000808,62850,0.9275,not biodegradable
"1,2,3-Propanetriol",000056-81-5,92.1,19.44,0.022387211,0.0106,1000000,0.1345,readily biodegradable
"1-Hexadecanaminium, N,N,N-trimethyl-, bromide",000057-09-0,364.46,221.99,1513.561248,5.35E-09,9.651,395.3,not biodegradable
Hexadecanoic acid,000057-10-3,256.43,116.42,9120108.394,0.00736,0.04073,13230,readily biodegradable
Urea,000057-13-6,60.06,28.99,0.027542287,27.8,425900,0.5595,not biodegradable
".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl",000057-50-1,342.3,255.38,5.37E-05,4.71E-14,1000000,0.006079,readily biodegradable
"1,2-Propanediol",000057-55-6,76.1,-33.01,0.165958691,14.8,811100,0.392,readily biodegradable
"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trime",000058-95-7,472.76,202.99,1.82E+12,0.00000537,3.65E-08,49750000,not biodegradable
"Phenol, 4-chloro-3-methyl-",000059-50-7,142.59,36.15,501.1872336,1.37,699.3,640.7,not biodegradable
"Glycine, N,N -1,2-ethanediylbis[N-(carboxymethyl)-",000060-00-4,292.25,315.39,0.000138038,5.03E-10,228200,0.007761,not biodegradable
Benzeneethanol,000060-12-8,122.17,5.81,37.15352291,3.24,21990,18.45,readily biodegradable
"Glycine, N,N -1,2-ethanediylbis[N-(carboxymethyl)-, tetrasodium salt",000064-02-8,380.17,246.56,6.76E-14,1.99E-10,1000000,5.50E-08,readily biodegradable
Ethanol,000064-17-5,46.07,-87.84,0.72443596,8120,792100,2.199,readily biodegradable
Formic acid,000064-18-6,46.03,-24.95,0.34673685,4780,955200,0.7195,readily biodegradable
Benzoic acid,000065-85-0,122.12,48.85,74.13102413,0.397,2493,15.49,readily biodegradable
Methanol,000067-56-1,32.04,-101,0.234422882,15800,1000000,1.224,readily biodegradable
2-Propanol,000067-63-0,60.1,-89.16,1.905460718,6610,402400,3.478,readily biodegradable
2-Propanone,000067-64-1,58.08,-93.58,0.575439937,33200,219900,9.726,readily biodegradable
"Methane, trichloro-",000067-66-3,119.38,-78.9,33.11311215,25100,2096,51.21,not biodegradable
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, trisodium salt",000068-04-2,258.07,210.96,0.52480746,2.79E-10,120000,0.3885,readily biodegradable
"Benzoic acid, 2-hydroxy-",000069-72-7,138.12,93.83,173.7800829,0.00425,3808,37.38,readily biodegradable
1-Propanol,000071-23-8,60.1,-74.95,2.238721139,3090,271500,4.487,readily biodegradable
"Propanoic acid, 2-hydroxy-, monosodium salt",000072-17-3,112.06,174.03,1.70E-05,0.00000203,1000000,0.001276,readily biodegradable
Propane,000074-98-6,44.1,-133.89,64.5654229,819000,368.9,111.6,readily biodegradable
Acetaldehyde,000075-07-0,44.05,-106.38,0.676082975,121000,256800,3.219,readily biodegradable
"Methane, dichloro-",000075-09-2,84.93,-89.5,21.87761624,57500,10950,12.15,not biodegradable
Oxirane,000075-21-8,44.05,-109.3,0.891250938,167000,237400,4.662,readily biodegradable
"Oxirane, methyl-",000075-56-9,58.08,-100.23,2.344228815,70900,129300,7.097,readily biodegradable
"2-Propanol, 2-methyl-",000075-65-0,74.12,-73.81,5.370317964,6250,217500,5.096,not biodegradable
"Bicyclo 2.2.1 heptan-2-one, 1,7,7-trimethyl-",000076-22-2,152.24,28.07,1096.478196,1.42,339.1,432.8,readily biodegradable
"1H-3a,7-Methanoazulen-6-ol, octahydro-3,6,8,8-tetramethyl-,  3R-(3.al",000077-53-2,222.37,75.52,21379.6209,0.0165,21.88,810.4,not biodegradable
"Oxiranecarboxylic acid, 3-methyl-3-phenyl-, ethyl ester",000077-83-8,206.24,67.05,1000,0.423,111.3,268.1,not biodegradable
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-",000077-92-9,192.13,169.23,0.021379621,0.000000752,1000000,0.06873,readily biodegradable
"3-Octanol, 3,7-dimethyl-",000078-69-3,158.29,-11.77,3981.071706,9.51,188.9,319.8,not biodegradable
"1,6-Octadien-3-ol, 3,7-dimethyl-",000078-70-6,154.25,-11.39,2398.832919,11.1,683.7,143.4,readily biodegradable
"1-Propanol, 2-methyl-",000078-83-1,74.12,-74.01,5.888436554,1780,97120,8.591,readily biodegradable
"Ethene, trichloro-",000079-01-6,131.39,-77.15,295.1209227,9660,778.7,125.9,not biodegradable
"Acetamide, 2-chloro-",000079-07-2,93.51,41.6,0.263026799,1.41,345700,4.248,readily biodegradable
"Acetic acid, chloro-",000079-11-8,94.5,10.88,2.187761624,32.9,195300,1.894,readily biodegradable
"Acetic acid, hydroxy-",000079-14-1,76.05,23.33,0.085113804,2.27,1000000,0.135,readily biodegradable
Ethaneperoxoic acid,000079-21-0,76.05,-42.32,0.085113804,3240,1000000,1.27,not biodegradable
