CAS,chemical,CAS_sum,toxicity,STP_removal,half_life,RfD,BAF,MW,VP_at25C
000050-00-0,Formaldehyde,4107.497431,0.266666667,1.87,360,0.0375,1.0565,30.03,5.19E+05
000051-03-6,Piperonyl butoxide,779.5544724,4.524886878,68.23,900,0.00221,249.3718,338.45,0.000696
000052-51-7,Bronopol,748.4153272,5.555555556,1.85,360,0.0018,0.8974,199.99,1.68E-03
000056-81-5,Glycerol,12433.78056,0.003344482,1.85,208,2.989999647,0.8933,92.1,2.24E-02
000057-09-0,Cetyl trimethyl ammonium bromide,1147.334856,0.4,7.55,900,0.025,107.3961,364.46,5.35E-09
000057-10-3,Palmitic acid,4171.031944,0.4,93.91,208,0.025,40774.6847,256.43,2.67E-05
000057-13-6,Urea,812.7115156,0.023809524,1.85,360,0.419999997,0.8932,60.06,1.60E-03
000060-12-8,2-phenylethanol,59854.01962,0.196078431,1.95,360,0.051,2.3758,122.17,1.16E+01
000064-17-5,Ethanol,95072.19434,0.011494253,2.13,208,0.86999999,0.9209,46.07,7.91E+03
000065-85-0,Benzoic acid,230.1123912,0.060240964,2.14,360,0.166,6.5141,122.12,9.33E-02
000067-56-1,cis-3-hexenyl salicylate,111.9441569,0.25,2.1,208,0.04,0.9013,32.04,1.69E+04
000067-63-0,Isopropyl alcohol,39355.33311,0.038461538,2.3,360,0.260000003,0.9639,60.1,6.05E+03
000067-64-1,Acetone,3982.666742,0.016129032,3.69,360,0.62000001,0.929,58.08,3.08E+04
000069-72-7,Salicylic acid,211.8484993,1,2.57,360,0.01,11.9615,138.12,1.09E-02
000071-23-8,Propyl alcohol,12778.21853,0.016393443,2.26,360,0.609999986,1.0109,60.1,2.80E+03
000075-09-2,Methylene chloride,16.3138158,16.66666667,56.91,900,6.00E-04,2.63,84.93,5.75E+04
000075-65-0,tert-Butanol,316.1748826,3.333333333,2.35,360,0.003,1.0712,74.12,5.43E+03
000076-22-2,Camphor,3357.604825,2.5,7.85,900,0.004,48.0521,152.24,9.60E+00
000077-83-8,ethyl 3-methyl-3-phenylglycidate,953.418817,2.857142857,5.7,900,0.0035,14.475,206.24,0.423
000078-69-3,tetrahydrolinalool,1343.944384,0.632911392,17.73,900,0.0158,152.2277,158.29,9.51
000078-70-6,Linalool,5400.085596,5,6.54,900,0.002,74.3448,154.25,2.13E+01
000079-07-2,2-chloroacetamide,0.019565591,20,1.85,360,5.00E-04,0.9,93.51,1.41
000079-14-1,Glycolic acid,0.831139151,1.333333333,1.85,208,0.0075,0.8965,76.05,2.67E+00
000080-54-6,2-(4-tert-Butylbenzyl)propionaldehyde,3592.740446,16.12903226,48.68,900,6.20E-04,847.5803,204.31,0.477
000080-56-8,慣-Pinene,1267.499955,4.444444444,99.34,900,0.00225,1559.5648,136.24,6.33E+02
000080-62-6,"2-Methyl-2-propenoic acid methyl ester ; Methyl methacrylate, MMA",3.136564242,0.12195122,14.55,360,0.082,2.274,100.12,5.13E+03
000081-14-1,musk ketone,1624.881268,40,45.27,1440,2.50E-04,72.3202,294.31,4.00E-05
000084-74-2,Dibutyl phtalate,3.297146739,142.8571429,56.06,208,7.00E-05,159.3998,278.35,2.68E-03
000089-48-5,Menthyl acetate,2216.52042,0.208333333,45.68,360,0.048,129.0498,198.31,1.39E+01
000089-83-8,Thymol,0.340196417,0.120481928,9.25,360,0.083,58.3707,150.22,2.13E+00
000091-20-3,Naphthalene,7.971890116,0.04,23.6,900,0.25,177.3505,128.18,1.13E+01
000091-64-5,Coumarin,3233.391566,2.564102564,1.95,360,0.0039,2.9863,146.15,1.31E-01
000093-04-9,2-methoxynaphthalene,36.88357311,11.32502831,22.53,360,8.83E-04,246.4276,158.2,0.356
000093-08-3,2-Acetonaphthone,329.5652789,6.060606061,4.64,360,0.00165,66.1317,170.21,8.15E-02
000093-92-5,1-Phenylethyl acetate,632.4530168,1.333333333,4.09,360,0.0075,7.1919,164.21,14.9
000094-13-3,Propyl 4-hydroxybenzoate,41.67985173,0.023004371,6.04,360,0.434699997,15.6193,180.21,0.0409
000095-14-7,1H-benzotriazole,88.72690806,1.851851852,1.96,360,0.0054,3.514,119.13,0.00328
000096-29-7,2-butanone oxime,1.638281565,0.32,2.43,360,0.03125,1.1863,87.12,1.41E+02
000097-53-0,cibacron brilliant red 3B-A,2442.316301,0.333333333,2.7,360,0.03,17.6028,164.21,2.93E+00
000098-11-3,benzenesulfonic acid,0.250178603,0.4,1.85,360,0.025,0.8952,158.17,0.00228
