,시나리오,000117-81-7,028553-12-0,000115-96-8,013674-84-5,013674-87-8,166412-78-8,000084-74-2,000084-66-2
강화마루,시나리오0,0,0,0,0,0,0,0,0
PVC tile,시나리오0,0,0,0,0,0,0,0,0
PVC floor,시나리오0,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
종이벽지,시나리오0,0,0,0,0,0,0,0,0
실크벽지,시나리오0,0,0,0,0,0,0,0,0
paint,시나리오0,0,0,0,0,0,0,0,0
강화마루,시나리오1,0,0,0,0,0,0,0,0
PVC tile,시나리오1,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
PVC floor,시나리오1,0,0,0,0,0,0,0,0
종이벽지,시나리오1,0,0,0,0,0,0,0,0
실크벽지,시나리오1,0,0,0,0,0,0,0,0
paint,시나리오1,0,0,0,0,0,0,0,0
강화마루,시나리오2,10000,10000,0,0,0,0,0,0
PVC tile,시나리오2,0,0,0,0,0,0,0,0
PVC floor,시나리오2,0,0,0,0,0,0,0,0
종이벽지,시나리오2,0,0,0,0,0,0,0,0
실크벽지,시나리오2,0,0,0,0,0,0,0,0
paint,시나리오2,0,0,0,0,0,0,0,0
강화마루,시나리오3,0,0,0,0,0,0,0,0
PVC tile,시나리오3,0,0,0,0,0,0,0,0
PVC floor,시나리오3,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
종이벽지,시나리오3,0,0,0,0,0,0,0,0
실크벽지,시나리오3,0,0,0,0,0,0,0,0
paint,시나리오3,0,0,0,0,0,0,0,0
강화마루,시나리오4,0,0,0,0,0,0,0,0
PVC tile,시나리오4,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
PVC floor,시나리오4,0,0,0,0,0,0,0,0
종이벽지,시나리오4,0,0,0,0,0,0,0,0
실크벽지,시나리오4,0,0,0,0,0,0,0,0
paint,시나리오4,0,0,0,0,0,0,0,0
강화마루,시나리오5,10000,10000,0,0,0,0,0,0
PVC tile,시나리오5,0,0,0,0,0,0,0,0
PVC floor,시나리오5,0,0,0,0,0,0,0,0
종이벽지,시나리오5,0,0,0,0,0,0,0,0
실크벽지,시나리오5,0,0,0,0,0,0,0,0
paint,시나리오5,0,0,0,0,0,0,0,0
강화마루,시나리오6,0,0,0,0,0,0,0,0
PVC tile,시나리오6,0,0,0,0,0,0,0,0
PVC floor,시나리오6,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
종이벽지,시나리오6,0,0,0,0,0,0,0,0
실크벽지,시나리오6,0,0,0,0,0,0,0,0
paint,시나리오6,0,0,0,0,0,0,100,100
강화마루,시나리오7,0,0,0,0,0,0,0,0
PVC tile,시나리오7,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
PVC floor,시나리오7,0,0,0,0,0,0,0,0
종이벽지,시나리오7,0,0,0,0,0,0,0,0
실크벽지,시나리오7,0,0,0,0,0,0,0,0
paint,시나리오7,0,0,0,0,0,0,100,100
강화마루,시나리오8,10000,10000,0,0,0,0,0,0
PVC tile,시나리오8,0,0,0,0,0,0,0,0
PVC floor,시나리오8,0,0,0,0,0,0,0,0
종이벽지,시나리오8,0,0,0,0,0,0,0,0
실크벽지,시나리오8,0,0,0,0,0,0,0,0
paint,시나리오8,0,0,0,0,0,0,100,100
강화마루,시나리오9,0,0,0,0,0,0,0,0
PVC tile,시나리오9,0,0,0,0,0,0,0,0
PVC floor,시나리오9,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
종이벽지,시나리오9,0,0,0,0,0,0,0,0
실크벽지,시나리오9,0,0,0,0,0,0,0,0
paint,시나리오9,0,0,0,0,0,0,0,0
강화마루,시나리오10,10000,10000,0,0,0,0,0,0
PVC tile,시나리오10,0,0,0,0,0,0,0,0
PVC floor,시나리오10,0,0,0,0,0,0,0,0
종이벽지,시나리오10,0,0,0,0,0,0,0,0
실크벽지,시나리오10,0,0,0,0,0,0,0,0
paint,시나리오10,0,0,0,0,0,0,0,0
강화마루,시나리오11,0,0,0,0,0,0,0,0
PVC tile,시나리오11,0,0,0,0,0,0,0,0
PVC floor,시나리오11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
종이벽지,시나리오11,0,0,0,0,0,0,0,0
실크벽지,시나리오11,0,0,0,0,0,0,0,0
paint,시나리오11,0,0,0,0,0,0,0,0
강화마루,시나리오12,10000,10000,0,0,0,0,0,0
PVC tile,시나리오12,0,0,0,0,0,0,0,0
PVC floor,시나리오12,0,0,0,0,0,0,0,0
종이벽지,시나리오12,0,0,0,0,0,0,0,0
실크벽지,시나리오12,0,0,0,0,0,0,0,0
paint,시나리오12,0,0,0,0,0,0,0,0
강화마루,시나리오13,10000,10000,0,0,0,0,0,0
PVC tile,시나리오13,0,0,0,0,0,0,0,0
PVC floor,시나리오13,0,0,0,0,0,0,0,0
종이벽지,시나리오13,0,0,0,0,0,0,0,0
실크벽지,시나리오13,0,0,0,0,0,0,0,0
paint,시나리오13,0,0,0,0,0,0,100,100
강화마루,시나리오14,0,0,0,0,0,0,0,0
PVC tile,시나리오14,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
PVC floor,시나리오14,0,0,0,0,0,0,0,0
종이벽지,시나리오14,0,0,0,0,0,0,0,0
실크벽지,시나리오14,0,0,0,0,0,0,0,0
paint,시나리오14,0,0,0,0,0,0,100,100
강화마루,시나리오15,0,0,0,0,0,0,0,0
PVC tile,시나리오15,1.00E+11,1.00E+11,1.00E+11,1.00E+11,1.00E+11,0,0,0
PVC floor,시나리오15,0,0,0,0,0,0,0,0
