,Unnamed: 0,회차,행정구역시도코드,읍면부동부코드,가구일련번호,가구원일련번호,대표가구원여부,평토일구분코드,성별코드,연령,연령코드,etc_daily,home_daily,work_daily,school_daily,home_weekend,bodyweight,dust_ingestion,inhalaion_rate
0,1,6차,경기,동,1,1,대표가구원,평일,남자,56,50~59세,60,1020,360,0,1440,67.6,20,14.61
1,2,6차,경기,동,1,2,일반가구원,평일,여자,56,50~59세,40,1000,400,0,1440,49.7,20,14.61
2,3,6차,경기,동,2,1,대표가구원,평일,남자,46,40~49세,160,720,560,0,1440,69.2,20,14.61
3,4,6차,경기,동,2,2,일반가구원,평일,여자,45,40~49세,80,1000,360,0,1080,45.8,20,14.61
4,5,6차,경기,동,2,3,일반가구원,평일,여자,13,10~19세,30,1020,0,390,1300,59.0,20,12.73
5,6,6차,경기,동,3,1,대표가구원,평일,남자,52,50~59세,80,880,480,0,1260,88.6,20,14.61
6,7,6차,경기,동,3,2,일반가구원,평일,여자,46,40~49세,80,1000,360,0,1220,46.8,20,14.61
7,8,6차,경기,동,3,3,일반가구원,평일,남자,18,10~19세,60,800,0,580,1070,96.3,20,12.73
8,9,6차,경기,동,3,4,일반가구원,평일,여자,58,50~59세,240,1200,0,0,1200,59.7,20,14.61
9,10,6차,경기,동,4,1,대표가구원,평일,여자,64,60세 이상,270,1170,0,0,1440,68.8,20,14.61
10,11,6차,경기,동,4,2,일반가구원,평일,남자,66,60세 이상,250,1190,0,0,1310,68.7,20,14.61
11,12,6차,경기,동,5,1,대표가구원,평일,여자,45,40~49세,440,1000,0,0,440,47.0,20,14.61
12,13,6차,경기,동,5,2,일반가구원,평일,남자,80,60세 이상,130,880,430,0,1320,57.6,20,14.61
13,14,6차,경기,동,6,1,대표가구원,평일,남자,38,30~39세,100,970,370,0,1440,77.0,20,14.61
14,15,6차,경기,동,6,2,일반가구원,평일,여자,40,40~49세,240,1200,0,0,1440,91.1,20,14.61
15,16,6차,경기,동,7,1,대표가구원,평일,남자,40,40~49세,70,1000,370,0,1440,93.4,20,14.61
16,17,6차,경기,동,7,2,일반가구원,평일,여자,39,30~39세,270,700,470,0,1180,67.0,20,14.61
17,18,6차,경기,동,7,3,일반가구원,평일,여자,79,60세 이상,400,1040,0,0,1440,56.1,20,14.61
18,19,6차,경기,동,8,1,대표가구원,평일,여자,62,60세 이상,60,950,430,0,1440,38.2,20,14.61
19,20,6차,경기,동,8,2,일반가구원,평일,남자,67,60세 이상,220,1220,0,0,1390,70.7,20,14.61
20,21,6차,경기,동,11,1,대표가구원,평일,남자,66,60세 이상,60,1380,0,0,1290,70.8,20,14.61
21,22,6차,경기,동,11,2,일반가구원,평일,여자,64,60세 이상,200,1240,0,0,1280,51.0,20,14.61
22,23,6차,경기,동,12,1,대표가구원,평일,여자,56,50~59세,60,920,460,0,900,45.5,20,14.61
23,24,6차,경기,동,12,2,일반가구원,평일,남자,66,60세 이상,240,1200,0,0,1260,58.0,20,14.61
24,25,6차,경기,동,12,3,일반가구원,평일,여자,23,20~29세,0,1440,0,0,1020,53.9,20,14.61
25,26,6차,경기,동,13,1,대표가구원,평일,남자,60,60세 이상,40,920,480,0,960,73.0,20,14.61
26,27,6차,경기,동,13,2,일반가구원,평일,여자,59,50~59세,120,960,360,0,1440,53.4,20,14.61
27,28,6차,경기,동,15,1,대표가구원,평일,여자,64,60세 이상,160,800,480,0,1280,76.7,20,14.61
28,29,6차,경기,동,15,2,일반가구원,평일,남자,68,60세 이상,780,660,0,0,1140,71.5,20,14.61
29,30,6차,경기,동,15,3,일반가구원,평일,남자,37,30~39세,640,800,0,0,1080,57.4,20,14.61
30,31,6차,경기,동,16,1,대표가구원,평일,여자,49,40~49세,420,1020,0,0,1130,44.0,20,14.61
31,32,6차,경기,동,16,2,일반가구원,평일,남자,55,50~59세,40,1140,260,0,1060,73.1,20,14.61
32,33,6차,경기,동,16,3,일반가구원,평일,남자,24,20~29세,100,940,400,0,1150,63.7,20,14.61
33,34,6차,경기,동,16,4,일반가구원,평일,여자,21,20~29세,80,1000,360,0,1250,67.7,20,14.61
34,35,6차,경기,동,17,1,대표가구원,평일,여자,49,40~49세,180,960,300,0,1320,54.7,20,14.61
35,36,6차,경기,동,17,2,일반가구원,평일,남자,50,50~59세,50,850,540,0,1440,64.5,20,14.61
36,37,6차,경기,동,17,3,일반가구원,평일,여자,19,10~19세,600,840,0,0,860,45.7,20,14.61
37,38,6차,경기,동,19,1,대표가구원,평일,여자,51,50~59세,120,940,380,0,1240,60.2,20,14.61
38,39,6차,경기,동,19,2,일반가구원,평일,남자,50,50~59세,0,1440,0,0,1080,61.3,20,14.61
39,40,6차,경기,동,19,3,일반가구원,평일,남자,26,20~29세,80,1060,300,0,1080,63.9,20,14.61
40,41,6차,경기,동,19,4,일반가구원,평일,여자,23,20~29세,40,940,460,0,1440,60.0,20,14.61
41,42,6차,경기,동,20,1,대표가구원,평일,여자,47,40~49세,110,890,440,0,700,56.4,20,14.61
42,43,6차,경기,동,20,2,일반가구원,평일,남자,47,40~49세,20,800,620,0,1130,81.1,20,14.61
43,44,6차,경기,동,20,3,일반가구원,평일,여자,14,10~19세,40,1000,0,400,1440,58.6,20,12.73
44,45,6차,경기,동,20,4,일반가구원,평일,여자,11,10~19세,20,970,0,450,1440,62.1,30,12.73
45,46,6차,경기,동,21,1,대표가구원,평일,여자,46,40~49세,90,1350,0,0,1440,59.7,20,14.61
46,47,6차,경기,동,21,2,일반가구원,평일,남자,53,50~59세,190,680,570,0,1100,67.3,20,14.61
47,48,6차,경기,동,21,3,일반가구원,평일,여자,22,20~29세,310,890,0,240,1100,56.9,20,14.61
48,49,6차,경기,동,21,4,일반가구원,평일,남자,17,10~19세,50,910,0,480,1210,73.5,20,12.73
49,50,6차,경기,동,22,1,대표가구원,평일,여자,46,40~49세,0,1440,0,0,1220,81.7,20,14.61
50,51,6차,경기,동,22,2,일반가구원,평일,남자,48,40~49세,200,790,450,0,1440,58.9,20,14.61
51,52,6차,경기,동,22,3,일반가구원,평일,남자,10,10~19세,20,1020,0,400,1200,30.3,30,12.73
52,53,6차,경기,동,24,1,대표가구원,평일,남자,51,50~59세,240,1080,120,0,1250,60.0,20,14.61
53,54,6차,경기,동,24,2,일반가구원,평일,여자,77,60세 이상,200,1240,0,0,1060,64.8,20,14.61
54,55,6차,경기,동,24,3,일반가구원,평일,남자,11,10~19세,60,1020,0,360,1220,51.4,30,12.73
55,56,6차,경기,동,24,4,일반가구원,평일,여자,41,40~49세,120,1080,240,0,1260,89.4,20,14.61
56,57,6차,경기,동,25,1,대표가구원,평일,남자,70,60세 이상,200,1120,120,0,980,52.7,20,14.61
57,58,6차,경기,동,25,2,일반가구원,평일,여자,65,60세 이상,360,1080,0,0,1440,71.6,20,14.61
58,59,6차,경기,동,26,1,대표가구원,평일,여자,54,50~59세,60,1020,360,0,1440,66.8,20,14.61
