,exposure,chemi
0,1.8141372765957448e-06,000117-81-7
1,0.0,000117-81-7
2,0.0,000117-81-7
3,0.0,000117-81-7
4,3.0844993787234046e-06,000117-81-7
5,0.0,000117-81-7
6,0.0,000117-81-7
7,0.0,000117-81-7
8,0.0,000117-81-7
9,0.0,000117-81-7
10,0.0,000117-81-7
11,0.0,000117-81-7
12,0.0,000117-81-7
13,0.0,000117-81-7
14,0.0,000117-81-7
15,0.0,000117-81-7
16,0.0,000117-81-7
17,0.0,000117-81-7
18,0.0,000117-81-7
19,0.0,000117-81-7
20,0.0,000117-81-7
21,0.0,000117-81-7
22,0.0,000117-81-7
23,0.0,000117-81-7
24,0.0,000117-81-7
25,0.0,000117-81-7
26,0.0,000117-81-7
27,0.0,000117-81-7
28,0.0,000117-81-7
29,0.0,000117-81-7
30,0.0,000117-81-7
31,0.0,000117-81-7
32,0.0,000117-81-7
33,3.24258908558942e-05,000117-81-7
34,0.0,000117-81-7
35,0.0,000117-81-7
36,0.0,000117-81-7
37,1.0450130248648652e-05,000117-81-7
38,0.0,000117-81-7
39,0.0,000117-81-7
40,0.0,000117-81-7
41,0.0,000117-81-7
42,0.0,000117-81-7
43,3.113149435675677e-05,000117-81-7
44,0.0,000117-81-7
45,0.0,000117-81-7
46,0.0,000117-81-7
47,0.0,000117-81-7
48,0.0,000117-81-7
49,0.0,000117-81-7
50,0.0,000117-81-7
51,0.0,000117-81-7
52,0.0,000117-81-7
53,0.0,000117-81-7
54,0.0,000117-81-7
55,0.0,000117-81-7
56,0.0,000117-81-7
57,0.0,000117-81-7
58,0.0,000117-81-7
59,0.0,000117-81-7
60,0.0,000117-81-7
61,0.0,000117-81-7
62,0.0,000117-81-7
63,0.0,000117-81-7
64,0.0,000117-81-7
65,0.0,000117-81-7
66,0.0,000117-81-7
67,0.0,000117-81-7
68,0.0,000117-81-7
69,0.0,000117-81-7
70,0.0,000117-81-7
71,0.0,000117-81-7
72,0.0,000117-81-7
73,0.0,000117-81-7
74,0.0,000117-81-7
75,0.0,000117-81-7
76,0.0,000117-81-7
77,0.0,000117-81-7
78,0.0,000117-81-7
79,0.0,000117-81-7
80,0.0,000117-81-7
81,0.0,000117-81-7
82,0.0,000117-81-7
83,0.0,000117-81-7
84,0.0,000117-81-7
85,0.0,000117-81-7
86,0.0,000117-81-7
87,0.0,000117-81-7
88,0.0,000117-81-7
89,0.0,000117-81-7
90,0.0,000117-81-7
91,0.0,000117-81-7
92,0.0,000117-81-7
93,0.0,000117-81-7
94,0.0,000117-81-7
95,0.0,000117-81-7
96,0.0,000117-81-7
97,0.0,000117-81-7
98,0.0,000117-81-7
99,0.0,000117-81-7
100,0.0,000117-81-7
101,3.839756549741232e-08,000117-81-7
102,0.0,000117-81-7
103,0.0,000117-81-7
104,0.0,000117-81-7
105,0.0,000117-81-7
106,0.0,000117-81-7
107,0.0,000117-81-7
108,0.0,000117-81-7
109,0.0,000117-81-7
110,0.0,000117-81-7
111,2.6760694884876373e-05,000117-81-7
112,0.0,000117-81-7
113,0.0,000117-81-7
114,0.0,000117-81-7
115,0.0,000117-81-7
116,0.0,000117-81-7
117,0.0,000117-81-7
118,0.0,000117-81-7
119,0.0,000117-81-7
120,0.0,000117-81-7
121,0.0,000117-81-7
122,0.0,000117-81-7
123,0.0,000117-81-7
124,0.0,000117-81-7
125,0.0,000117-81-7
126,0.0,000117-81-7
127,0.0,000117-81-7
128,0.0,000117-81-7
129,0.0,000117-81-7
130,0.0,000117-81-7
131,0.0,000117-81-7
132,0.0,000117-81-7
133,0.0,000117-81-7
134,0.0,000117-81-7
135,0.0,000117-81-7
136,0.0,000117-81-7
137,1.854940172512939e-08,000117-81-7
138,0.0,000117-81-7
139,0.0,000117-81-7
140,0.0,000117-81-7
141,0.0,000117-81-7
142,0.0,000117-81-7
143,0.0,000117-81-7
144,0.0,000117-81-7
145,0.0,000117-81-7
146,0.0,000117-81-7
147,0.0,000117-81-7
148,0.0,000117-81-7
149,0.0,000117-81-7
150,0.0,000117-81-7
151,0.0,000117-81-7
152,0.0,000117-81-7
153,0.0,000117-81-7
154,9.80841370212766e-07,000117-81-7
155,0.0,000117-81-7
156,0.0,000117-81-7
157,0.0,000117-81-7
158,0.0,000117-81-7
159,0.0,000117-81-7
160,0.0,000117-81-7
161,0.0,000117-81-7
162,0.0,000117-81-7
163,0.0,000117-81-7
164,0.0,000117-81-7
165,0.0,000117-81-7
166,0.0,000117-81-7
167,0.0,000117-81-7
168,0.0,000117-81-7
169,0.0,000117-81-7
170,0.0,000117-81-7
171,0.0,000117-81-7
172,0.0,000117-81-7
173,0.0,000117-81-7
174,0.0,000117-81-7
175,0.0,000117-81-7
176,0.0,000117-81-7
177,0.0,000117-81-7
178,0.0,000117-81-7
179,0.0,000117-81-7
180,0.0,000117-81-7
181,0.0,000117-81-7
182,0.0,000117-81-7
183,0.0,000117-81-7
184,0.0,000117-81-7
185,0.0,000117-81-7
186,0.0,000117-81-7
187,0.0,000117-81-7
188,0.0,000117-81-7
189,0.0,000117-81-7
190,0.0,000117-81-7
191,0.0,000117-81-7
192,0.0,000117-81-7
193,0.0,000117-81-7
194,0.0,000117-81-7
195,0.0,000117-81-7
196,0.0,000117-81-7
197,0.0,000117-81-7
198,0.0,000117-81-7
199,0.0,000117-81-7
200,0.0,000117-81-7
201,0.0,000117-81-7
202,0.0,000117-81-7
203,0.0,000117-81-7
204,0.0,000117-81-7
205,0.0,000117-81-7
206,0.0,000117-81-7
207,1.4159805428407133e-05,000117-81-7
208,0.0,000117-81-7
209,0.0,000117-81-7
210,0.0,000117-81-7
211,0.0,000117-81-7
212,0.0,000117-81-7
