A1_1_1_1,A1_1_1_2,A1_1_1_3,A1_1_1_4,A1_1_2_1,A1_1_2_2,A1_1_2_3,A1_1_2_4,A1_1_3_1,A1_1_3_2,A1_1_3_3,A1_1_3_4,A1_1_4_1,A1_1_4_2,A1_1_4_3,A1_1_4_4,A1_1_5_1,A1_1_5_2,A1_1_6_1,A1_1_6_2,A1_1_7_1,A1_1_8_1,A1_1_8_2,A1_1_8_3,A1_2_10_1,A1_2_10_2,A1_2_10_3,A1_2_11_1,A1_2_11_2,A1_2_11_3,A1_2_12_1,A1_2_12_2,A1_2_12_3,A1_2_13_1,A1_2_13_2,A1_2_13_3,A1_2_14_1,A1_2_14_2,A1_2_14_3,A1_2_9_1,A1_2_9_2,A1_2_9_3,A2_1_1,A2_1_2,A2_1_3,A2_2_1,A2_3_1,A2_3_2,A2_4_1,A2_5_1,A2_5_2,B1_1_2,B1_1_3,B1_1_5,B1_1_4,B1_1_1,B1_2_1,B1_2_3,B1_2_4,B1_2_6,B1_2_5,B1_2_2,B1_3_1,B1_4_1,B1_4_2,B1_4_3,B1_4_4,B1_5_3,B1_5_1,B1_5_2,B2_1_2,B2_1_1,B2_2_2,B2_2_1,B2_3_2,B2_3_1,B3_1_1,B3_1_2,B3_2_1,B3_3_1,C1_1_2,C1_1_1,C1_1_3,C1_2_2,C1_2_1,C1_2_3,C1_3_1,C1_4_2,C1_4_1,C1_4_3,C1_4_4,C1_5_2,C1_5_1,C1_5_3,C1_6_1,C1_7_2,C1_7_1,C1_7_3,C1_7_4,C1_8_2,C1_8_1,C1_8_3,C1_8_4,C2_1_2,C2_1_1,C2_1_3,C2_2_2,C2_2_1,C2_2_3,C2_3_2,C2_3_1,C2_3_3,C2_4_2,C2_4_1,C2_4_3,C2_5_2,C2_5_1,C2_5_3,C2_6_2,C2_6_1,C2_6_3,C2_6_4,C2_7_1,C2_7_3,C2_7_4,C2_7_2,C2_8_1,C2_8_3,C2_8_4,C2_8_2,C3_1_1,C3_1_4,C3_1_3,C3_1_2,C3_2_1,C3_2_4,C3_2_3,C3_2_2,C3_3_1,C3_3_4,C3_3_3,C3_3_2,C3_4_1,C3_4_4,C3_4_3,C3_4_2,C3_5_1,C3_5_4,C3_5_3,C3_5_2,C4_1_1,C4_1_2,C4_2_1,C4_2_2,D1_1_2,D1_1_1,D1_1_3,D1_1_4,D1_2_2,D1_2_1,D1_2_3,D1_2_4,D1_3_2,D1_3_1,D1_3_3,D1_4_2,D1_4_1,D1_4_3,D1_5_2,D1_5_1,D1_5_3,E1_1_2,E1_1_1,E1_1_3,E1_1_4,E1_2_2,E1_2_1,E1_2_3,E1_2_4,E1_3_1,E1_4_1,E1_5_2,E1_5_1,E1_5_3,E1_5_4,E1_6_2,E1_6_1,E1_6_3,E1_6_4,E1_7_2,E1_7_1,E1_7_3,E1_7_4,F1_10_1,F1_11_1,F1_12_1,F1_1_1,F1_1_3,F1_1_2,F1_2_1,F1_2_3,F1_2_2,F1_3_4,F1_3_1,F1_3_3,F1_3_2,F1_4_2,F1_4_1,F1_5_1,F1_6_1,F1_7_1,F1_8_1,F1_9_1,G1_1_1,G1_2_1,G1_3_1,G1_4_1,H1_1_1,H1_2_2,H1_2_1,I1_1_2,I1_1_1,I1_2_1,I1_3_1,I1_4_1,I1_5_1,I1_6_1,I1_7_1,I1_8_1,I1_9_1,J1_1_4_1,J1_1_6_1,J1_1_6_2,J1_1_8_2,J1_1_8_1,J1_1_9_2,J1_1_9_1,J2_2_1,J2_3_2,J2_3_1,K1_1_1,K1_1_2,K1_2_1,K1_2_2,K1_3_1,K1_3_2,K2_7_1,K2_9_3,K2_9_2,K2_9_4,K2_9_5,K2_9_1,L1_1_2,L1_1_1,L1_1_3,L1_2_2,L1_2_1,L1_2_3,L1_3_2,L1_3_1,L1_3_3,L1_4_2,L1_4_1,L1_4_3,L1_5_2,L1_5_1,L1_5_3,L1_6_2,L1_6_1,L1_6_3,L1_7_2,L1_7_1,L1_7_3,L1_8_1,L1_9_1,M1_1_1,M1_2_1,M1_3_1,M1_4_1,M1_5_1,M1_6,J1_1_1_1,J1_1_1_3,J1_1_1_4,J1_1_1_5,J1_1_1_6,J1_1_2_1,J1_1_2_2,J1_1_2_3,J1_1_2_5,J1_1_3_1,J1_1_3_2,J1_1_3_4,J1_1_3_5,J1_1_3_6,J1_1_5_2,J1_1_5_3,J1_1_5_4,J1_2_1_1,J1_2_1_2,J1_2_1_3,J1_2_1_4,J1_2_2_1,J1_2_2_2,J1_2_2_3,J1_2_2_4,J1_2_2_5,J1_2_3_1,J1_2_3_2,J1_2_3_4,J1_2_3_5,J1_2_4_1,J1_2_4_2,J1_2_4_3,J1_2_4_4,J1_2_4_5,J1_2_5_1,J1_2_5_2,J1_2_5_3,J1_2_5_4,J2_1_1,J2_1_3,J2_1_4,J2_4_1,J2_4_3,J2_4_4,J2_5_1,J2_5_2,K1_4_1,K1_4_2,K1_4_3,K1_5_1,K1_6_1,K1_6_2,K2_1_1,K2_1_2,K2_1_3,K2_1_4,K2_2_1,K2_2_2,K2_2_3,K2_2_4,K2_3_1,K2_3_2,K2_4_1,K2_4_2,K2_4_3,K2_4_4,K2_5_1,K2_5_2,K2_6_1,K2_6_2,K2_8_1,K2_8_2,K2_8_3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018321534,0.018321534,,,0.018321534,0.018321534,,,,,0.018321534,0.018321534,,,0.018321534,0.018321534,,,0.018321534,0.018321534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018321534,0.018321534,0.018321534,0.018321534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018321534,0.018321534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22675157,,,,,,,,0.063757805,,,,,,,,0.161112547,0.089077299,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018790451,0.018790451,,,0.018790451,0.018790451,,,,,0.018790451,0.018790451,,,0.018790451,0.018790451,,,0.018790451,0.018790451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018790451,0.018790451,0.018790451,0.018790451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018790451,0.018790451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158960813,,,,,,,,0.047942221,,,,,,,,0.16339243,0.002938112,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01745272,0.01745272,,,0.01745272,0.01745272,,,,,0.01745272,0.01745272,,,0.01745272,0.01745272,,,0.01745272,0.01745272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01745272,0.01745272,0.01745272,0.01745272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01745272,0.01745272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229504892,,,,,,,,0.015349878,,,,,,,,0.161029173,0.081282199,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019836243,0.019836243,,,0.019836243,0.019836243,,,,,0.019836243,0.019836243,,,0.019836243,0.019836243,,,0.019836243,0.019836243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019836243,0.019836243,0.019836243,0.019836243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019836243,0.019836243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112460628,,,,,,,,0.075785231,,,,,,,,0.172667393,0.060449906,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019134681,0.019134681,,,0.019134681,0.019134681,,,,,0.019134681,0.019134681,,,0.019134681,0.019134681,,,0.019134681,0.019134681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019134681,0.019134681,0.019134681,0.019134681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019134681,0.019134681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178384802,,,,,,,,0.079705563,,,,,,,,0.143240695,0.020152611,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018040451,0.018040451,,,0.018040451,0.018040451,,,,,0.018040451,0.018040451,,,0.018040451,0.018040451,,,0.018040451,0.018040451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018040451,0.018040451,0.018040451,0.018040451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018040451,0.018040451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.650618527,,,,,,,,0.016748453,,,,,,,,0.018045141,0.060379517,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017588426,0.017588426,,,0.017588426,0.017588426,,,,,0.017588426,0.017588426,,,0.017588426,0.017588426,,,0.017588426,0.017588426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017588426,0.017588426,0.017588426,0.017588426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017588426,0.017588426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433959047,,,,,,,,0.092132982,,,,,,,,0.016634719,0.040878593,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017650082,0.017650082,,,0.017650082,0.017650082,,,,,0.017650082,0.017650082,,,0.017650082,0.017650082,,,0.017650082,0.017650082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017650082,0.017650082,0.017650082,0.017650082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017650082,0.017650082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185016616,,,,,,,,0.040676351,,,,,,,,0.052674172,0.002562458,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018101785,0.018101785,,,0.018101785,0.018101785,,,,,0.018101785,0.018101785,,,0.018101785,0.018101785,,,0.018101785,0.018101785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018101785,0.018101785,0.018101785,0.018101785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018101785,0.018101785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124349477,,,,,,,,0.003024064,,,,,,,,0.07678472,0.047346931,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018414859,0.018414859,,,0.018414859,0.018414859,,,,,0.018414859,0.018414859,,,0.018414859,0.018414859,,,0.018414859,0.018414859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018414859,0.018414859,0.018414859,0.018414859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018414859,0.018414859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095263325,,,,,,,,0.036591806,,,,,,,,0.051995576,0.014967326,,,,,,,
