,exp,cdf,chemi
0,0.0,0.0,000084-74-2
1,0.0,4.782629489693433e-05,000084-74-2
2,0.0,9.565258979386866e-05,000084-74-2
3,0.0,0.000143478884690803,000084-74-2
4,0.0,0.00019130517958773733,000084-74-2
5,0.0,0.00023913147448467167,000084-74-2
6,0.0,0.000286957769381606,000084-74-2
7,0.0,0.00033478406427854036,000084-74-2
8,0.0,0.00038261035917547465,000084-74-2
9,0.0,0.000430436654072409,000084-74-2
10,0.0,0.00047826294896934334,000084-74-2
11,0.0,0.0005260892438662776,000084-74-2
12,0.0,0.000573915538763212,000084-74-2
13,0.0,0.0006217418336601463,000084-74-2
14,0.0,0.0006695681285570807,000084-74-2
15,0.0,0.000717394423454015,000084-74-2
16,0.0,0.0007652207183509493,000084-74-2
17,0.0,0.0008130470132478837,000084-74-2
18,0.0,0.000860873308144818,000084-74-2
19,0.0,0.0009086996030417524,000084-74-2
20,0.0,0.0009565258979386867,000084-74-2
21,0.0,0.001004352192835621,000084-74-2
22,0.0,0.0010521784877325553,000084-74-2
23,0.0,0.0011000047826294898,000084-74-2
24,0.0,0.001147831077526424,000084-74-2
25,0.0,0.0011956573724233584,000084-74-2
26,0.0,0.0012434836673202926,000084-74-2
27,0.0,0.001291309962217227,000084-74-2
28,0.0,0.0013391362571141614,000084-74-2
29,0.0,0.0013869625520110957,000084-74-2
30,0.0,0.00143478884690803,000084-74-2
31,0.0,0.0014826151418049643,000084-74-2
32,0.0,0.0015304414367018986,000084-74-2
33,0.0,0.0015782677315988331,000084-74-2
34,0.0,0.0016260940264957674,000084-74-2
35,0.0,0.0016739203213927017,000084-74-2
36,0.0,0.001721746616289636,000084-74-2
37,0.0,0.0017695729111865703,000084-74-2
38,0.0,0.0018173992060835048,000084-74-2
39,0.0,0.001865225500980439,000084-74-2
40,0.0,0.0019130517958773734,000084-74-2
41,0.0,0.001960878090774308,000084-74-2
42,0.0,0.002008704385671242,000084-74-2
43,0.0,0.0020565306805681765,000084-74-2
44,0.0,0.0021043569754651105,000084-74-2
45,0.0,0.002152183270362045,000084-74-2
46,0.0,0.0022000095652589795,000084-74-2
47,0.0,0.0022478358601559136,000084-74-2
48,0.0,0.002295662155052848,000084-74-2
49,0.0,0.002343488449949782,000084-74-2
50,0.0,0.0023913147448467167,000084-74-2
51,0.0,0.0024391410397436512,000084-74-2
52,0.0,0.0024869673346405853,000084-74-2
53,0.0,0.00253479362953752,000084-74-2
54,0.0,0.002582619924434454,000084-74-2
55,0.0,0.0026304462193313884,000084-74-2
56,0.0,0.002678272514228323,000084-74-2
57,0.0,0.002726098809125257,000084-74-2
58,0.0,0.0027739251040221915,000084-74-2
59,0.0,0.0028217513989191255,000084-74-2
60,0.0,0.00286957769381606,000084-74-2
61,0.0,0.0029174039887129946,000084-74-2
62,0.0,0.0029652302836099286,000084-74-2
63,0.0,0.003013056578506863,000084-74-2
64,0.0,0.003060882873403797,000084-74-2
65,0.0,0.0031087091683007317,000084-74-2
66,0.0,0.0031565354631976662,000084-74-2
67,0.0,0.0032043617580946003,000084-74-2
68,0.0,0.003252188052991535,000084-74-2
69,0.0,0.003300014347888469,000084-74-2
70,0.0,0.0033478406427854034,000084-74-2
71,0.0,0.003395666937682338,000084-74-2
72,0.0,0.003443493232579272,000084-74-2
73,0.0,0.0034913195274762065,000084-74-2
74,0.0,0.0035391458223731406,000084-74-2
75,0.0,0.003586972117270075,000084-74-2
76,0.0,0.0036347984121670096,000084-74-2
77,0.0,0.0036826247070639436,000084-74-2
78,0.0,0.003730451001960878,000084-74-2
79,0.0,0.0037782772968578122,000084-74-2
80,0.0,0.0038261035917547467,000084-74-2
81,0.0,0.0038739298866516812,000084-74-2
82,0.0,0.003921756181548616,000084-74-2
83,0.0,0.00396958247644555,000084-74-2
84,0.0,0.004017408771342484,000084-74-2
85,0.0,0.004065235066239419,000084-74-2
86,0.0,0.004113061361136353,000084-74-2
87,0.0,0.004160887656033287,000084-74-2
88,0.0,0.004208713950930221,000084-74-2
89,0.0,0.004256540245827156,000084-74-2
90,0.0,0.00430436654072409,000084-74-2
91,0.0,0.004352192835621024,000084-74-2
92,0.0,0.004400019130517959,000084-74-2
93,0.0,0.004447845425414893,000084-74-2
94,0.0,0.004495671720311827,000084-74-2
95,0.0,0.004543498015208762,000084-74-2
96,0.0,0.004591324310105696,000084-74-2
97,0.0,0.00463915060500263,000084-74-2
98,0.0,0.004686976899899564,000084-74-2
99,0.0,0.004734803194796499,000084-74-2
100,0.0,0.004782629489693433,000084-74-2
101,0.0,0.0048304557845903675,000084-74-2
102,0.0,0.0048782820794873024,000084-74-2
103,0.0,0.0049261083743842365,000084-74-2
104,0.0,0.004973934669281171,000084-74-2
105,0.0,0.0050217609641781055,000084-74-2
106,0.0,0.00506958725907504,000084-74-2
107,0.0,0.005117413553971974,000084-74-2
108,0.0,0.005165239848868908,000084-74-2
109,0.0,0.005213066143765843,000084-74-2
110,0.0,0.005260892438662777,000084-74-2
111,0.0,0.005308718733559711,000084-74-2
112,0.0,0.005356545028456646,000084-74-2
113,0.0,0.00540437132335358,000084-74-2
114,0.0,0.005452197618250514,000084-74-2
115,0.0,0.005500023913147449,000084-74-2
116,0.0,0.005547850208044383,000084-74-2
117,0.0,0.005595676502941317,000084-74-2
118,0.0,0.005643502797838251,000084-74-2
119,0.0,0.005691329092735186,000084-74-2
120,0.0,0.00573915538763212,000084-74-2
121,0.0,0.005786981682529054,000084-74-2
122,0.0,0.005834807977425989,000084-74-2
123,0.0,0.005882634272322923,000084-74-2
124,0.0,0.005930460567219857,000084-74-2
125,0.0,0.005978286862116792,000084-74-2
126,0.0,0.006026113157013726,000084-74-2
127,0.0,0.00607393945191066,000084-74-2
128,0.0,0.006121765746807594,000084-74-2
129,0.0,0.006169592041704529,000084-74-2
130,0.0,0.0062174183366014634,000084-74-2
131,0.0,0.0062652446314983975,000084-74-2
132,0.0,0.0063130709263953325,000084-74-2
133,0.0,0.0063608972212922665,000084-74-2
134,0.0,0.006408723516189201,000084-74-2
135,0.0,0.0064565498110861355,000084-74-2
136,0.0,0.00650437610598307,000084-74-2
137,0.0,0.006552202400880004,000084-74-2
138,0.0,0.006600028695776938,000084-74-2
139,0.0,0.006647854990673873,000084-74-2
140,0.0,0.006695681285570807,000084-74-2
141,0.0,0.006743507580467741,000084-74-2
142,0.0,0.006791333875364676,000084-74-2
143,0.0,0.00683916017026161,000084-74-2
144,0.0,0.006886986465158544,000084-74-2
145,0.0,0.006934812760055479,000084-74-2
146,0.0,0.006982639054952413,000084-74-2
147,0.0,0.007030465349849347,000084-74-2
148,0.0,0.007078291644746281,000084-74-2
149,0.0,0.007126117939643216,000084-74-2
150,0.0,0.00717394423454015,000084-74-2
151,0.0,0.007221770529437084,000084-74-2
152,0.0,0.007269596824334019,000084-74-2
153,0.0,0.007317423119230953,000084-74-2
154,0.0,0.007365249414127887,000084-74-2
155,0.0,0.007413075709024822,000084-74-2
156,0.0,0.007460902003921756,000084-74-2
157,0.0,0.00750872829881869,000084-74-2
158,0.0,0.0075565545937156245,000084-74-2
159,0.0,0.007604380888612559,000084-74-2
160,0.0,0.0076522071835094935,000084-74-2
161,0.0,0.0077000334784064275,000084-74-2
162,0.0,0.0077478597733033625,000084-74-2
163,0.0,0.0077956860682002966,000084-74-2
164,0.0,0.007843512363097232,000084-74-2
165,0.0,0.007891338657994166,000084-74-2
166,0.0,0.0079391649528911,000084-74-2
167,0.0,0.007986991247788034,000084-74-2
168,0.0,0.008034817542684968,000084-74-2
169,0.0,0.008082643837581902,000084-74-2
170,0.0,0.008130470132478838,000084-74-2
171,0.0,0.008178296427375772,000084-74-2
172,0.0,0.008226122722272706,000084-74-2
173,0.0,0.00827394901716964,000084-74-2
174,0.0,0.008321775312066574,000084-74-2
175,0.0,0.008369601606963508,000084-74-2
176,0.0,0.008417427901860442,000084-74-2
177,0.0,0.008465254196757378,000084-74-2
178,0.0,0.008513080491654312,000084-74-2
179,0.0,0.008560906786551246,000084-74-2
180,0.0,0.00860873308144818,000084-74-2
