,DEHP,DInP,TCEP,TCPP,TDCPP,DINCH,DnBP,DEP
시나리오0,0.005728629410410128,0.00015941652409145026,165.15310071848327,165.14015982267838,20.204747684598892,0.0,0.0,0.0
시나리오1,0.005728629410410128,0.00015941652409145026,744.3742625684747,803.8568626289107,13.8957553245858,0.0,0.0,0.0
시나리오2,4.985680567348998e-06,1.2692972266625964e-06,0.0,0.0,0.0,0.0,0.0,0.0
시나리오3,0.01901886558165963,0.0005490282632806993,369.4046352547541,359.4867940300271,61.091345367170675,0.0,0.0,0.0
시나리오4,0.005728629410410128,0.00015941652409145026,744.3742625684747,803.8568626289107,13.8957553245858,0.0,0.0,0.0
시나리오5,4.985680567348998e-06,1.2692972266625964e-06,0.0,0.0,0.0,0.0,0.0,0.0
시나리오6,0.005728629410410128,0.00015941652409145026,165.15310071848327,165.14015982267838,20.204747684598892,0.0,1.246111780420119e-07,1.6708266010379693e-06
시나리오7,0.005728629410410128,0.00015941652409145026,744.3742625684747,803.8568626289107,13.8957553245858,0.0,1.246111780420119e-07,1.6708266010379693e-06
시나리오8,4.985680567348998e-06,1.2692972266625964e-06,0.0,0.0,0.0,0.0,1.246111780420119e-07,1.6708266010379693e-06
시나리오9,0.00596213864668053,0.00016601966821174152,170.4348187616486,170.30032326782393,20.992179046954362,0.0,0.0,0.0
시나리오10,5.1889058727692166e-06,1.3218724071020539e-06,0.0,0.0,0.0,0.0,0.0,0.0
시나리오11,0.00596213864668053,0.00016601966821174152,170.4348187616486,170.30032326782393,20.992179046954362,0.0,0.0,0.0
시나리오12,5.1889058727692166e-06,1.3218724071020539e-06,0.0,0.0,0.0,0.0,0.0,0.0
시나리오13,4.985680567348997e-06,1.2692972266625964e-06,0.0,0.0,0.0,0.0,1.2461117804201187e-07,1.670826601037969e-06
시나리오14,0.005728629410410127,0.00015941652409145023,744.3742625684748,803.8568626289108,13.895755324585798,0.0,1.2461117804201187e-07,1.670826601037969e-06
시나리오15,0.005728425540816917,0.0001594107627440124,744.3533016069467,803.834730155896,13.895281696188475,0.0,1.2461323051809047e-07,1.670861094005635e-06
